CTYNAME,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Atascosa,9,3225,1636,1589,1547,1512,35,17,21,27,5,17,1,0,25,18,572,513,1061,1076
Atascosa,10,3106,1544,1562,1477,1488,12,19,26,24,11,8,2,3,11,25,550,535,989,1027
Atascosa,11,2859,1471,1388,1365,1342,43,15,21,17,9,9,1,0,29,8,540,522,926,866
Atascosa,12,3084,1494,1590,1433,1525,16,12,26,17,9,11,2,1,8,24,582,633,911,960
Atascosa,13,2888,1352,1536,1284,1479,15,12,28,19,6,10,0,4,18,13,542,697,809,839
Atascosa,14,2536,1314,1222,1238,1196,15,11,28,6,13,7,4,1,12,5,597,615,711,607
Atascosa,15,2120,1015,1105,958,1044,18,24,10,12,9,2,2,1,9,31,501,547,504,558
Atascosa,16,1512,714,798,694,758,6,5,11,16,2,7,0,4,1,8,360,418,354,380
Atascosa,17,865,372,493,353,474,3,6,5,5,0,9,0,0,7,3,153,240,218,253
Atascosa,18,855,311,544,299,529,3,1,5,6,0,4,0,0,4,4,180,327,130,217
Austin,5,1615,792,823,677,697,77,95,21,4,4,10,0,0,13,17,470,474,319,353
Austin,6,1865,951,914,744,765,141,123,6,5,9,8,0,0,45,19,588,586,351,328
Austin,7,1602,750,852,627,756,88,68,9,16,7,7,1,4,15,4,465,567,281,285
Austin,8,1765,908,857,793,767,86,69,11,10,7,4,0,0,8,10,558,578,347,279
Austin,9,1669,833,836,703,746,90,69,15,3,12,9,0,0,12,10,604,605,226,231
Austin,10,1712,861,851,778,738,60,81,6,10,12,12,0,0,4,11,564,611,299,240
Austin,11,1761,896,865,768,754,109,91,4,6,9,15,1,0,3,1,696,653,198,214
Austin,12,1969,959,1010,832,882,88,104,16,9,11,6,0,0,9,12,737,812,220,200
Austin,13,2233,1141,1092,1001,991,116,76,3,8,4,9,2,1,14,8,962,924,176,169
Austin,14,1982,954,1028,871,916,59,82,10,6,8,6,0,0,6,18,830,923,122,104
Austin,15,1624,785,839,734,777,25,54,4,4,5,2,0,0,15,4,691,756,89,85
Austin,16,1329,674,655,613,597,50,55,1,2,4,1,0,0,5,1,616,600,51,55
Austin,17,600,283,317,261,278,15,26,1,8,0,4,0,0,4,3,257,294,22,23
Austin,18,629,247,382,225,338,19,35,0,3,1,0,0,0,2,6,209,349,42,34
Bailey,5,466,251,215,222,195,7,3,11,13,1,2,0,0,8,4,72,40,177,175
Bailey,6,405,229,176,210,159,4,5,8,6,4,0,0,4,1,4,53,40,174,136
Bailey,7,385,189,196,166,176,10,4,8,8,2,4,0,1,1,5,69,69,116,127
Bailey,8,426,230,196,195,185,4,1,16,8,4,4,0,0,8,1,62,73,157,123
Bailey,9,432,223,209,208,200,8,1,4,8,1,0,0,0,2,0,76,59,148,150
Bailey,10,398,180,218,163,200,2,0,11,16,0,2,0,1,1,2,40,63,136,155
Bailey,11,358,193,165,169,151,12,5,6,6,6,1,0,0,1,1,90,56,101,109
Bailey,12,369,198,171,192,162,1,4,3,3,2,1,0,1,0,0,56,63,143,112
Bailey,13,404,213,191,189,179,17,1,6,7,0,0,1,0,0,4,124,118,87,73
Bailey,14,357,191,166,166,164,4,1,12,1,0,0,0,0,8,1,105,93,81,75
Bailey,15,211,104,107,98,105,3,0,0,0,1,1,0,1,0,2,60,77,41,30
Bailey,16,229,100,129,91,121,0,1,9,4,0,0,0,0,1,2,77,95,22,34
Bailey,17,144,66,78,64,76,0,1,2,0,0,1,0,0,0,0,38,53,27,25
Bailey,18,133,67,66,60,63,5,2,0,1,1,0,0,0,1,0,45,56,22,11
Bandera,5,932,488,444,460,409,6,6,9,10,1,2,0,0,8,21,340,299,144,146
Bandera,6,1012,534,478,513,456,0,9,8,3,0,1,0,0,10,12,397,340,130,138
Bandera,7,957,496,461,426,418,18,5,7,27,14,5,9,0,14,14,345,316,133,146
Bandera,8,1111,586,525,563,487,3,12,11,8,3,5,0,0,4,15,444,407,140,119
Bandera,9,1166,595,571,567,552,10,4,8,8,1,2,0,0,5,9,422,438,170,134
Bandera,10,1329,670,659,624,621,26,12,11,7,4,4,0,0,5,15,484,490,185,170
Bandera,11,1402,610,792,587,766,4,5,9,14,3,2,0,0,5,7,477,616,131,179
Bandera,12,2223,1082,1141,1027,1085,21,9,16,13,4,15,1,1,13,18,906,967,175,174
Bandera,13,2433,1153,1280,1132,1244,8,19,4,9,2,4,1,0,4,6,999,1119,149,161
Bandera,14,2285,1101,1184,1074,1143,5,4,15,13,1,19,1,0,3,7,976,1032,123,155
Bandera,15,1938,1021,917,973,878,8,9,28,12,4,3,0,0,6,17,890,825,129,92
Bandera,16,1246,595,651,573,633,4,2,6,9,8,3,0,0,4,4,543,586,50,65
Bandera,17,704,365,339,352,317,0,1,4,6,2,8,0,0,5,9,320,290,41,50
Bandera,18,591,305,286,296,279,4,0,2,1,1,0,0,0,2,6,259,252,45,37
Bastrop,5,5420,2947,2473,2490,2131,224,187,97,60,18,14,4,8,110,77,1266,1203,1675,1271
Bastrop,6,5546,2977,2569,2527,2246,280,172,73,62,27,25,3,6,67,58,1445,1307,1538,1267
Bastrop,7,5618,3003,2615,2536,2309,304,159,47,63,49,36,3,8,61,43,1640,1529,1355,1087
Bastrop,8,5624,2917,2707,2506,2313,244,220,65,82,33,54,21,1,43,42,1676,1535,1228,1173
Bastrop,9,5266,2819,2447,2395,2204,248,134,79,36,48,29,4,3,43,43,1573,1411,1241,1036
Bastrop,10,5415,2785,2630,2433,2297,199,195,71,42,36,40,4,5,39,54,1656,1555,1126,1081
Bastrop,11,5558,2728,2830,2356,2506,211,182,82,62,34,42,5,4,32,42,1774,1914,947,920
Bastrop,12,6150,3151,2999,2779,2621,243,258,56,54,32,27,5,8,31,36,2169,2251,984,748
Bastrop,13,6455,3280,3175,2961,2844,221,217,37,28,18,35,3,2,36,53,2535,2503,740,680
Bastrop,14,5170,2535,2635,2286,2350,147,198,40,36,17,14,4,4,40,34,2062,2232,475,404
Bastrop,15,4141,2003,2138,1858,1896,104,155,19,30,11,22,1,0,9,36,1695,1854,306,284
Bastrop,16,2485,1161,1324,1050,1200,70,89,9,12,5,10,4,0,21,15,1007,1153,150,172
Bastrop,17,1559,692,867,613,775,50,66,10,2,9,5,0,1,11,17,580,741,112,127
Bastrop,18,1238,472,766,426,678,30,56,7,14,2,5,0,1,7,12,399,650,72,116
Baylor,5,164,90,74,77,60,4,12,0,1,0,0,0,0,6,4,73,57,14,17
Baylor,6,192,95,97,73,91,13,2,4,0,1,0,0,0,4,4,82,75,12,23
Baylor,7,199,94,105,83,100,12,2,0,1,0,1,0,0,0,0,73,93,20,12
Baylor,8,200,97,103,88,99,1,2,6,1,0,0,0,0,1,2,74,89,22,16
Baylor,9,204,100,104,101,93,0,5,0,1,1,1,0,0,1,1,88,81,17,24
Baylor,10,138,55,83,52,81,2,0,1,0,0,1,0,0,0,1,50,68,4,15
Baylor,11,205,105,100,98,97,3,4,1,0,0,0,0,0,1,1,86,91,19,9
Baylor,12,250,138,112,132,111,4,2,1,0,0,0,0,0,0,0,129,100,8,12
Baylor,13,220,107,113,101,108,3,4,1,0,0,0,0,1,2,0,93,93,14,20
Baylor,14,245,117,128,108,118,2,9,0,2,0,0,0,1,3,2,106,117,7,13
Baylor,15,170,72,98,66,96,4,0,0,0,0,1,1,0,0,2,63,95,8,3
Baylor,16,175,81,94,78,82,0,9,0,0,1,1,0,0,0,4,73,88,6,6
Baylor,17,106,41,65,40,62,1,1,0,0,0,2,0,0,0,0,39,59,2,6
Baylor,18,152,44,108,41,104,3,0,0,1,0,0,0,0,0,3,40,104,4,4
Bee,5,2655,1887,768,1487,716,365,21,6,11,10,2,4,4,15,14,814,149,1073,620
Bee,6,2908,2096,812,1718,779,334,12,16,4,16,5,4,1,5,14,976,183,1114,641
Bee,7,2869,2023,846,1625,785,351,27,19,12,4,7,2,0,20,17,969,285,1051,562
Bee,8,2774,1946,828,1596,764,316,16,7,28,5,12,2,1,9,18,958,258,976,571
Bee,9,2312,1626,686,1257,639,337,25,7,10,14,3,0,1,7,12,911,226,708,460
Bee,10,2194,1499,695,1138,652,325,15,17,8,2,8,4,0,13,12,861,207,635,488
Bee,11,1797,1139,658,918,627,178,5,16,12,8,11,1,0,14,7,600,235,533,424
Bee,12,1665,941,724,782,697,121,10,18,11,10,4,0,0,7,5,469,283,467,442
Bee,13,1583,823,760,742,707,56,35,8,4,0,11,0,0,12,8,407,334,410,426
Bee,14,1324,639,685,600,660,27,8,5,5,4,7,0,0,2,6,314,288,323,398
Bee,15,1100,563,537,543,500,10,16,3,12,3,2,0,2,2,7,291,260,269,277
Bee,16,763,327,436,308,409,8,12,5,2,2,8,0,1,4,4,193,203,134,233
Bee,17,527,221,306,209,294,4,4,2,3,5,4,0,0,1,1,133,163,89,143
Bee,18,474,189,285,187,271,1,2,0,5,1,3,0,0,0,4,110,170,80,115
Bell,5,31265,17226,14039,11487,8923,4038,3737,243,166,492,331,122,87,838,801,12372,9809,4849,4231
Bell,6,32350,16837,15513,10586,9650,4716,4388,180,217,480,429,85,120,788,711,12402,11315,4410,4199
Bell,7,28601,14469,14132,9573,8884,3701,3872,189,129,392,503,144,169,460,585,10440,10519,4014,3614
Bell,8,26450,12870,13580,8576,8627,3168,3523,143,178,429,569,162,193,388,494,9188,9823,3678,3757
Bell,9,22664,11258,11406,7422,7334,2926,2958,132,112,286,447,109,103,378,457,8116,8215,3135,3195
Bell,10,20064,9643,10421,6294,6640,2571,2685,109,144,322,466,103,111,237,382,7293,7861,2340,2566
Bell,11,17970,8720,9250,5957,5993,2198,2429,139,114,228,436,51,71,145,209,6807,7365,1910,1886
Bell,12,19202,8877,10325,6197,6985,2180,2619,106,86,194,407,42,63,154,169,7101,8361,1772,1965
Bell,13,17513,8182,9331,5732,6496,2010,1949,99,96,166,579,40,66,130,150,6764,7729,1406,1604
Bell,14,14036,6360,7676,4777,5581,1226,1408,62,46,168,479,38,59,86,106,5362,6569,987,1108
Bell,15,11858,5516,6342,4437,4827,812,951,70,40,104,405,50,52,37,73,4756,5552,751,790
Bell,16,7611,3420,4191,2849,3356,394,561,23,11,84,204,29,11,40,49,3006,3655,412,541
Bell,17,4627,1996,2631,1691,2167,231,312,15,12,31,115,7,6,18,22,1769,2345,224,286
Bell,18,4622,1831,2791,1569,2375,169,270,17,9,38,109,5,16,24,21,1575,2519,247,272
Bexar,5,145473,74846,70627,62392,58897,7030,6359,1076,955,2083,2163,186,194,2079,2059,27160,23579,47695,47050
Bexar,6,164537,84826,79711,69693,65364,8366,7685,1106,1107,3270,3131,215,199,2172,2229,33245,30187,51580,49533
Bexar,7,159579,81851,77728,67665,64124,7806,7245,1173,1095,3224,3290,218,222,1759,1758,32754,30585,49079,47143
Bexar,8,151538,77135,74403,64065,61787,7051,6603,1006,921,3147,3277,205,196,1652,1628,30464,28749,46658,45658
Bexar,9,129873,64504,65369,54086,54698,5562,5486,848,788,2521,2863,187,140,1293,1401,24431,23855,40059,41515
Bexar,10,125663,61204,64459,51876,54527,5240,5306,806,835,2227,2537,132,151,923,1103,24176,24068,37043,40410
Bexar,11,111629,54748,56881,46633,48282,4832,4822,722,709,1724,2096,113,134,722,840,23448,22825,31306,34075
Bexar,12,114283,55007,59276,47019,50659,4863,4935,754,766,1534,1943,142,160,692,816,25349,26089,29657,33200
Bexar,13,100800,47637,53163,41082,45456,4085,4521,576,564,1260,1890,83,93,545,645,22638,25179,24996,27988
Bexar,14,84906,38281,46625,33498,40526,3048,3485,413,460,899,1724,73,85,342,353,18987,22523,19290,24104
Bexar,15,68649,30717,37932,27213,33583,2048,2385,316,356,913,1292,43,62,181,257,16231,18897,14477,19042
Bexar,16,45069,19422,25647,17557,22704,1142,1703,175,171,414,886,8,18,125,166,10701,13398,8719,12250
Bexar,17,28870,11694,17176,10619,15553,644,964,77,114,277,425,13,17,60,107,6379,8910,5307,8266
Bexar,18,29074,10616,18458,9561,16640,647,1120,101,157,268,471,4,7,33,65,6218,10071,4390,8390
Blanco,5,547,295,252,259,231,8,1,4,5,13,4,0,0,10,12,199,176,92,77
Blanco,6,541,298,243,274,236,11,4,11,2,0,0,0,0,1,2,207,189,88,54
Blanco,7,556,261,295,242,276,1,0,4,8,3,2,0,0,10,10,180,214,80,81
Blanco,8,647,345,302,301,281,19,6,12,2,0,1,0,0,9,16,245,211,92,91
Blanco,9,674,366,308,313,299,37,2,6,3,3,1,0,1,7,2,251,233,109,75
Blanco,10,752,360,392,334,385,10,1,4,0,9,3,1,0,1,4,270,311,83,81
Blanco,11,810,380,430,351,403,7,8,14,5,1,15,1,0,5,0,284,342,96,88
Blanco,12,1038,523,515,487,466,20,6,11,7,0,31,0,1,5,4,444,430,78,87
Blanco,13,1157,543,614,527,582,3,3,3,16,0,14,0,0,4,5,448,554,93,60
Blanco,14,1105,541,564,509,544,14,7,8,1,0,2,0,0,8,12,483,508,50,56
Blanco,15,852,395,457,377,449,4,1,7,1,0,2,0,1,8,2,360,424,36,33
Blanco,16,568,278,290,268,283,1,1,3,4,0,1,1,1,4,1,265,274,12,16
Blanco,17,355,158,197,159,193,0,1,0,0,0,0,0,0,0,2,145,191,10,7
Blanco,18,281,123,158,118,155,0,0,4,1,0,0,0,2,1,0,120,151,4,7
Borden,5,23,14,9,14,8,0,0,0,0,0,0,0,0,0,1,9,7,5,4
Borden,6,27,11,16,9,16,0,0,0,0,0,0,0,0,2,0,7,12,4,4
Borden,7,38,20,18,18,18,2,0,0,0,0,0,0,0,0,0,20,16,0,2
Borden,8,30,16,14,16,14,0,0,0,0,0,0,0,0,0,0,23,13,0,1
Borden,9,32,14,18,13,18,0,0,0,0,0,0,0,0,1,0,9,18,6,0
Borden,10,39,19,20,18,20,0,0,0,0,0,0,0,0,0,1,14,15,5,5
Borden,11,61,35,26,33,22,0,0,0,4,0,0,0,0,1,1,35,19,2,7
Borden,12,59,32,27,29,24,2,0,0,1,0,1,0,0,1,1,21,22,11,5
Borden,13,32,16,16,15,15,0,0,0,0,0,0,0,0,1,1,13,13,4,3
Borden,14,58,26,32,26,32,0,0,0,0,0,0,0,0,0,0,22,35,4,0
Borden,15,37,17,20,17,20,0,0,0,0,0,0,0,0,0,0,14,15,4,9
Borden,16,36,23,13,23,13,0,0,0,0,0,0,0,0,0,0,22,13,1,0
Borden,17,28,13,15,13,15,0,0,0,0,0,0,0,0,0,0,13,15,0,0
Borden,18,26,7,19,6,19,0,0,0,0,0,0,0,0,1,0,5,17,2,2
Bosque,5,969,492,477,446,431,26,22,6,5,6,5,0,1,7,14,346,327,144,150
Bosque,6,844,444,400,411,373,12,13,8,10,2,4,2,0,7,2,296,291,145,109
Bosque,7,990,456,534,391,503,33,5,16,6,8,12,0,4,4,8,326,433,109,103
Bosque,8,1026,515,511,478,484,14,10,7,4,1,7,0,1,14,6,391,348,122,164
Bosque,9,955,467,488,437,455,12,19,4,5,9,6,1,0,3,4,347,371,116,117
Bosque,10,1032,496,536,466,515,24,6,3,2,0,5,0,0,2,9,421,449,74,88
Bosque,11,1101,530,571,514,546,4,10,7,6,4,6,0,0,1,3,436,461,90,110
Bosque,12,1286,642,644,593,634,19,2,5,0,8,5,0,0,15,5,533,558,105,88
Bosque,13,1524,748,776,724,747,11,11,6,10,1,2,0,0,5,7,667,721,83,55
Bosque,14,1445,710,735,672,700,12,14,11,5,3,5,0,0,7,16,652,679,53,56
Bosque,15,1325,625,700,599,677,14,12,5,2,4,2,0,1,3,6,588,635,32,66
Bosque,16,957,464,493,438,483,3,6,2,0,1,0,0,0,20,4,429,467,28,26
Bosque,17,626,291,335,275,324,8,6,1,0,2,1,1,1,3,4,284,317,9,18
Bosque,18,558,252,306,238,297,9,1,4,2,0,4,0,0,2,1,239,297,10,9
Bowie,5,5658,3091,2567,1975,1640,894,768,41,40,52,51,8,3,113,73,2648,2299,432,270
Bowie,6,6581,3512,3069,2293,1940,1087,1004,47,30,22,26,4,0,57,71,2966,2839,542,230
Bowie,7,6228,3348,2880,2235,1874,953,860,37,24,56,64,8,5,56,56,2850,2693,494,187
Bowie,8,5939,3039,2900,2105,1960,806,780,38,30,38,89,2,1,49,41,2618,2697,420,204
Bowie,9,5884,3070,2814,2167,1962,797,705,28,27,33,79,3,3,40,40,2715,2668,352,146
Bowie,10,5691,2894,2797,2088,1992,672,682,42,35,63,56,1,2,28,30,2624,2638,270,163
Bowie,11,5294,2744,2550,2058,1820,576,635,32,21,29,43,6,1,43,30,2537,2445,206,105
Bowie,12,5942,2882,3060,2103,2219,658,718,45,41,27,44,6,1,42,38,2725,2941,157,120
Bowie,13,5681,2744,2937,2034,2128,618,696,27,51,24,36,4,4,32,27,2642,2884,95,53
Bowie,14,4955,2272,2683,1709,2017,491,566,33,34,12,30,0,1,26,36,2228,2628,42,55
Bowie,15,4260,2008,2252,1613,1750,330,453,25,15,2,11,0,2,37,22,1933,2209,66,43
Bowie,16,3019,1250,1769,1039,1416,176,304,12,22,9,11,1,0,12,17,1225,1741,23,28
Bowie,17,1920,831,1089,689,901,127,161,7,7,1,9,0,0,6,12,804,1068,22,22
Bowie,18,2020,661,1359,554,1109,88,224,7,7,0,5,0,0,12,14,653,1340,7,19
Brazoria,5,21581,11244,10337,8393,7598,1832,1732,104,109,592,596,17,16,297,295,6692,6154,4540,4183
Brazoria,6,25203,13098,12105,9910,9044,2200,1906,144,147,636,776,12,7,191,230,8226,7668,4864,4440
Brazoria,7,27442,13984,13458,10322,9757,2367,2121,140,108,926,1177,17,25,206,276,9053,8888,4920,4573
Brazoria,8,29902,15242,14660,11209,10411,2709,2632,105,112,994,1291,7,19,211,202,9720,9898,5521,4762
Brazoria,9,26787,13793,12994,9721,9212,2558,2322,104,93,1223,1201,14,13,166,160,9196,8756,4586,4242
Brazoria,10,26288,13416,12872,9381,8929,2569,2308,111,83,1158,1385,22,11,160,171,9419,9179,3980,3695
Brazoria,11,23073,11870,11203,8634,8211,2085,1838,105,107,918,907,6,14,118,130,8600,8141,3259,3065
Brazoria,12,22874,11348,11526,8622,8673,1832,1788,98,113,642,828,18,7,123,130,8684,8981,2643,2548
Brazoria,13,21201,10460,10741,8221,8355,1482,1564,90,109,553,625,6,6,107,83,8259,8582,2193,2161
Brazoria,14,16652,8098,8554,6576,6539,945,1237,68,68,464,633,6,4,40,72,6428,7024,1676,1530
Brazoria,15,13012,6137,6875,4965,5328,637,893,55,41,398,572,4,2,71,46,5103,5608,1025,1271
Brazoria,16,8454,3771,4683,3153,3870,368,439,29,27,195,324,4,1,20,24,3165,4004,602,680
Brazoria,17,5168,2366,2802,2059,2385,170,199,20,20,104,180,0,0,10,21,1955,2425,407,377
Brazoria,18,4667,1704,2963,1485,2450,101,275,15,23,83,189,0,1,20,25,1480,2550,221,414
Brazos,5,43006,22936,20070,19000,16594,1469,1505,133,145,1836,1250,12,17,480,565,18241,15726,4685,4346
